dx,gb,dz,gb_energy
0.7,1,3,1.055891557
0.7,1,3.1,1.036627674
0.7,1,3.2,1.020637833
0.7,1,3.3,1.007958704
0.7,1,3.4,0.99870656
0.7,1,3.5,0.992923756
0.7,1,3.6,0.990647818
0.8,1,0,0.990593521
0.8,1,0.1,0.992384479
0.8,1,0.2,0.997743422
0.8,1,0.3,1.006625436
0.8,1,0.4,1.018957175
0.8,1,0.5,1.034649376
0.8,1,0.6,1.053603964
0.8,1,0.7,1.067954937
0.8,1,0.8,1.206706404
0.8,1,0.9,1.173457131
0.8,1,1,1.141976358
0.8,1,1.1,1.113262472
0.8,1,1.2,1.087754685
0.8,1,1.3,1.067454321
0.8,1,1.4,1.047509022
0.8,1,1.5,1.033110574
0.8,1,1.6,1.022670143
0.8,1,1.7,1.016263916
0.8,1,1.8,1.013920604
0.8,1,1.9,1.015664371
0.8,1,2,1.021475034
0.8,1,2.1,1.031326155
0.8,1,2.2,1.045149506
0.8,1,2.3,1.062849854
0.8,1,2.4,1.084302401
0.8,1,2.5,1.109296212
0.8,1,2.6,1.137579699
0.8,1,2.7,1.168677833
0.8,1,2.8,1.201775869
0.8,1,2.9,1.070940435
0.8,1,3,1.05665314
0.8,1,3.1,1.037236031
0.8,1,3.2,1.021061124
0.8,1,3.3,1.008227917
0.8,1,3.4,0.998832495
0.8,1,3.5,0.99294991
0.8,1,3.6,0.990631899
0.9,1,0,0.990424659
0.9,1,0.1,0.992268777
0.9,1,0.2,0.997774693
0.9,1,0.3,1.006961169
0.9,1,0.4,1.019523459
0.9,1,0.5,1.035558501
0.9,1,0.6,1.054866162
0.9,1,0.7,1.067478485
0.9,1,0.8,1.193378836
0.9,1,0.9,1.16126014
0.9,1,1,1.130784293
0.9,1,1.1,1.102945703
0.9,1,1.2,1.078183864
0.9,1,1.3,1.056824276
0.9,1,1.4,1.039055701
0.9,1,1.5,1.02503904
0.9,1,1.6,1.014874928
0.9,1,1.7,1.008626192
0.9,1,1.8,1.006344852
0.9,1,1.9,1.008047968
0.9,1,2,1.0137091
0.9,1,2.1,1.023300674
0.9,1,2.2,1.036760717
0.9,1,2.3,1.053980349
0.9,1,2.4,1.074830509
0.9,1,2.5,1.099099976
0.9,1,2.6,1.126522383
0.9,1,2.7,1.156640891
0.9,1,2.8,1.188634788
0.9,1,2.9,1.070737175
0.9,1,3,1.057971626
0.9,1,3.1,1.038197463
0.9,1,3.2,1.021673745
0.9,1,3.3,1.008528968
0.9,1,3.4,0.998892478
0.9,1,3.5,0.992851265
0.9,1,3.6,0.990463321
1,1,0,0.990496582
1,1,0.1,0.992400967
1,1,0.2,0.998089106
1,1,0.3,1.007501015
1,1,0.4,1.020525542
1,1,0.5,1.037035899
1,1,0.6,1.056828256
1,1,0.7,1.079736596
1,1,0.8,1.182220885
1,1,0.9,1.150931431
1,1,1,1.121290512
1,1,1.1,1.094222317
1,1,1.2,1.070149286
1,1,1.3,1.049379293
1,1,1.4,1.032076651
1,1,1.5,1.018429269
1,1,1.6,1.008524704
1,1,1.7,1.002439427
1,1,1.8,1.00021466
1,1,1.9,1.001869164
1,1,2,1.007437905
1,1,2.1,1.016736672
1,1,2.2,1.029843071
1,1,2.3,1.046603309
1,1,2.4,1.066888322
1,1,2.5,1.090487175
1,1,2.6,1.117147429
1,1,2.7,1.146430726
1,1,2.8,1.177583725
1,1,2.9,1.071398408
1,1,3,1.060012181
1,1,3.1,1.039732854
1,1,3.2,1.022739223
1,1,3.3,1.009187927
1,1,3.4,0.999246121
1,1,3.5,0.993001649
1,1,3.6,0.990539508
1.1,1,0,0.991303082
1.1,1,0.1,0.993271714
1.1,1,0.2,0.999157995
1.1,1,0.3,1.008878347
1.1,1,0.4,1.022339527
1.1,1,0.5,1.039356753
1.1,1,0.6,1.05975832
1.1,1,0.7,1.083295201
1.1,1,0.8,1.173293955
1.1,1,0.9,1.142530986
1.1,1,1,1.113579159
1.1,1,1.1,1.087198636
1.1,1,1.2,1.063751019
1.1,1,1.3,1.043525988
1.1,1,1.4,1.026691838
1.1,1,1.5,1.013401795
1.1,1,1.6,1.003756492
1.1,1,1.7,0.997829559
1.1,1,1.8,0.995663637
1.1,1,1.9,0.997274362
1.1,1,2,1.002652637
1.1,1,2.1,1.011754398
1.1,1,2.2,1.024514545
1.1,1,2.3,1.040833298
1.1,1,2.4,1.060576191
1.1,1,2.5,1.083553042
1.1,1,2.6,1.109532448
1.1,1,2.7,1.138131769
1.1,1,2.8,1.168711662
1.1,1,2.9,1.087013854
1.1,1,3,1.063036625
1.1,1,3.1,1.042151499
1.1,1,3.2,1.024619444
1.1,1,3.3,1.010627516
1.1,1,3.4,1.000347134
1.1,1,3.5,0.993894853
1.1,1,3.6,0.991347145
1.2,1,0,0.993253236
1.2,1,0.1,0.995289526
1.2,1,0.2,1.001359451
1.2,1,0.3,1.011397059
1.2,1,0.4,1.025294607
1.2,1,0.5,1.042871294
1.2,1,0.6,1.06392784
1.2,1,0.7,1.08818082
1.2,1,0.8,1.16650452
1.2,1,0.9,1.136053973
1.2,1,1,1.107628915
1.2,1,1.1,1.081831448
1.2,1,1.2,1.05895978
1.2,1,1.3,1.039249579
1.2,1,1.4,1.022854925
1.2,1,1.5,1.009919377
1.2,1,1.6,1.000531631
1.2,1,1.7,0.994761051
1.2,1,1.8,0.992651417
1.2,1,1.9,0.99422149
1.2,1,2,0.999455635
1.2,1,2.1,1.008312632
1.2,1,2.2,1.020739889
1.2,1,2.3,1.036628811
1.2,1,2.4,1.05586455
1.2,1,2.5,1.078278245
1.2,1,2.6,1.103669477
1.2,1,2.7,1.131723836
1.2,1,2.8,1.161935303
1.2,1,2.9,1.091998118
1.2,1,3,1.067299674
1.2,1,3.1,1.045759569
1.2,1,3.2,1.027656113
1.2,1,3.3,1.013203084
1.2,1,3.4,1.00259038
1.2,1,3.5,0.995931712
1.2,1,3.6,0.993297583
1.3,1,0,0.996623079
1.3,1,0.1,0.998715941
1.3,1,0.2,1.00497548
1.3,1,0.3,1.015322099
1.3,1,0.4,1.02965033
1.3,1,0.5,1.047787047
1.3,1,0.6,1.069517334
1.3,1,0.7,1.0945427
1.3,1,0.8,1.161727495
1.3,1,0.9,1.131389808
1.3,1,1,1.103351085
1.3,1,1.1,1.078030069
1.3,1,1.2,1.055654468
1.3,1,1.3,1.036412191
1.3,1,1.4,1.020428035
1.3,1,1.5,1.007823672
1.3,1,1.6,0.998680122
1.3,1,1.7,0.993065611
1.3,1,1.8,0.99101198
1.3,1,1.9,0.992552488
1.3,1,2,0.997635396
1.3,1,2.1,1.006259285
1.3,1,2.2,1.018362748
1.3,1,2.3,1.033852258
1.3,1,2.4,1.052631161
1.3,1,2.5,1.074549357
1.3,1,2.6,1.099455609
1.3,1,2.7,1.127110556
1.3,1,2.8,1.157146907
1.3,1,2.9,1.098484228
1.3,1,3,1.073000036
1.3,1,3.1,1.050762595
1.3,1,3.2,1.032080631
1.3,1,3.3,1.017177873
1.3,1,3.4,1.006242512
1.3,1,3.5,0.999375184
1.3,1,3.6,0.996667426
1.4,1,0,1.001563564
1.4,1,0.1,1.003712713
1.4,1,0.2,1.010149927
1.4,1,0.3,1.020786226
1.4,1,0.4,1.035539738
1.4,1,0.5,1.054223976
1.4,1,0.6,1.076644209
1.4,1,0.7,1.142222828
1.4,1,0.8,1.158735459
1.4,1,0.9,1.128380714
1.4,1,1,1.100575953
1.4,1,1.1,1.07560858
1.4,1,1.2,1.053621873
1.4,1,1.3,1.034768205
1.4,1,1.4,1.019138829
1.4,1,1.5,1.006830117
1.4,1,1.6,0.997929341
1.4,1,1.7,0.992435933
1.4,1,1.8,0.990435462
1.4,1,1.9,0.99193077
1.4,1,2,0.99689883
1.4,1,2.1,1.005306666
1.4,1,2.2,1.017124144
1.4,1,2.3,1.032265981
1.4,1,2.4,1.050655706
1.4,1,2.5,1.07218046
1.4,1,2.6,1.096726247
1.4,1,2.7,1.124119088
1.4,1,2.8,1.154127296
1.4,1,2.9,1.146759352
1.4,1,3,1.080238064
1.4,1,3.1,1.057300728
1.4,1,3.2,1.038041678
1.4,1,3.3,1.022703404
1.4,1,3.4,1.011449082
1.4,1,3.5,1.004394414
1.4,1,3.6,1.001611323
1.5,1,0,1.022711079
1.5,1,0.1,1.024944375
1.5,1,0.2,1.031628912
1.5,1,0.3,1.042715225
1.5,1,0.4,1.058115187
1.5,1,0.5,1.077711392
1.5,1,0.6,1.101352603
1.5,1,0.7,1.128809407
1.5,1,0.8,1.159794682
1.5,1,0.9,1.126819454
1.5,1,1,1.099109926
1.5,1,1.1,1.074343255
1.5,1,1.2,1.052608987
1.5,1,1.3,1.037573755
1.5,1,1.4,1.018640773
1.5,1,1.5,1.00655863
1.5,1,1.6,0.997803405
1.5,1,1.7,0.992437923
1.5,1,1.8,0.990476967
1.5,1,1.9,0.991933328
1.5,1,2,0.996808713
1.5,1,2.1,1.005055647
1.5,1,2.2,1.016659632
1.5,1,2.3,1.031553578
1.5,1,2.4,1.049682335
1.5,1,2.5,1.07095209
1.5,1,2.6,1.095289216
1.5,1,2.7,1.122566356
1.5,1,2.8,1.152644496
1.5,1,2.9,1.133152906
1.5,1,3,1.105160521
1.5,1,3.1,1.080939665
1.5,1,3.2,1.06073823
1.5,1,3.3,1.044707452
1.5,1,3.4,1.033504301
1.5,1,3.5,1.025649387
1.5,1,3.6,1.022760828
1.6,1,0,1.013689201
1.6,1,0.1,1.01585029
1.6,1,0.2,1.022319627
1.6,1,0.3,1.0330432
1.6,1,0.4,1.047948801
1.6,1,0.5,1.066903104
1.6,1,0.6,1.089759421
1.6,1,0.7,1.116278673
1.6,1,0.8,1.146172885
1.6,1,0.9,1.126532617
1.6,1,1,1.098785564
1.6,1,1.1,1.074046467
1.6,1,1.2,1.0523773
1.6,1,1.3,1.03387301
1.6,1,1.4,1.018586759
1.6,1,1.5,1.006580804
1.6,1,1.6,0.997897786
1.6,1,1.7,0.992575799
1.6,1,1.8,0.990632752
1.6,1,1.9,0.992077742
1.6,1,2,0.996905084
1.6,1,2.1,1.005095731
1.6,1,2.2,1.016616706
1.6,1,2.3,1.031518896
1.6,1,2.4,1.049461734
1.6,1,2.5,1.070661273
1.6,1,2.6,1.094969687
1.6,1,2.7,1.122267579
1.6,1,2.8,1.150828806
1.6,1,2.9,1.120472072
1.6,1,3,1.093437991
1.6,1,3.1,1.070025056
1.6,1,3.2,1.050485707
1.6,1,3.3,1.034979709
1.6,1,3.4,1.023632712
1.6,1,3.5,1.016532559
1.6,1,3.6,1.013736675
1.7,1,0,1.005922414
1.7,1,0.1,1.008093737
1.7,1,0.2,1.014289598
1.7,1,0.3,1.024684544
1.7,1,0.4,1.039132741
1.7,1,0.5,1.057488352
1.7,1,0.6,1.079617199
1.7,1,0.7,1.105269115
1.7,1,0.8,1.134173184
1.7,1,0.9,1.127411607
1.7,1,1,1.099501378
1.7,1,1.1,1.074609908
1.7,1,1.2,1.052798317
1.7,1,1.3,1.034164965
1.7,1,1.4,1.018763865
1.7,1,1.5,1.006663245
1.7,1,1.6,0.997905462
1.7,1,1.7,0.99253799
1.7,1,1.8,0.990575896
1.7,1,1.9,0.992033963
1.7,1,2,0.996905368
1.7,1,2.1,1.005163673
1.7,1,2.2,1.016777608
1.7,1,2.3,1.031693728
1.7,1,2.4,1.049863136
